gene,mean,std,signature,role
NEDD9,2.74422959911357,1.7209830478336376,M,consensus_panel
NFKBIA,5.671696982547992,1.1139948248565446,E,consensus_panel
NKX3-1,1.5282577062950722,1.124673286168161,M,consensus_panel
NR2F1,2.4231609201125077,1.9737263296271634,M,consensus_panel
NR2F2,4.2721185379645,1.8644072748696814,E,consensus_panel
NREP,4.549356634071763,2.364569255405881,M,consensus_panel
NRIP3,1.8184244349626224,1.4656276930458265,M,consensus_panel
NT5E,4.095201164801201,2.705824915258504,M,consensus_panel
NUAK1,2.4117412754168166,1.533680856843474,M,consensus_panel
NUP210,3.663283218968236,2.0106533395085666,E,consensus_panel
ODC1,6.8106555076207105,1.181253627302137,M,consensus_panel
OVOL1,1.110889140252654,1.308347009755437,E,consensus_panel
P3H1,4.820103025520651,1.3024333987070005,M,consensus_panel
PALLD,4.475931264622817,2.0035423972465103,M,consensus_panel
PC,2.7168557260838186,1.0772223839496722,E,consensus_panel
PCDH9,1.0332748823124238,1.2772838292400903,E,consensus_panel
PCOLCE,3.907188800745052,2.2398377047881937,M,consensus_panel
PDGFA,2.8305670041084268,1.6658959570806549,M,consensus_panel
PDGFC,3.4046613476598435,2.0547828546952362,M,consensus_panel
PDGFRA,1.2977330952225017,1.9744476744884627,M,consensus_panel
PDGFRB,1.586978084468278,1.976025966206685,M,consensus_panel
PDK4,1.2854581644773475,1.464430132119051,E,consensus_panel
PDLIM7,5.621577850145433,1.33545531509802,M,consensus_panel
PEA15,6.687072655730075,1.2592550633298867,M,consensus_panel
PEG10,4.917768318544222,2.660189723550927,E,consensus_panel
PID1,1.6283414975102173,1.4586397774332307,M,consensus_panel
PIK3CD,2.263746779449039,1.615755446038486,M,consensus_panel
PKP2,2.835222538949226,2.0083587120888575,E,consensus_panel
PLAAT3,4.006487493803571,2.1229450012833415,E,consensus_panel
PLAAT4,3.3388601092929595,2.2734125268037784,E,consensus_panel
PLAUR,4.665752758689796,2.0174473551445335,M,consensus_panel
PLEK2,2.7473655959681733,2.0881150870927776,M,consensus_panel
PLK4,4.332410104176847,1.0461386238484116,M,consensus_panel
PLS1,3.3928899323775448,1.682475406879108,E,consensus_panel
PMEPA1,3.6717821719940793,2.247979646514607,M,consensus_panel
PMP22,3.720599051765728,2.51000885558264,M,consensus_panel
PODXL,3.3562407574776034,1.9669035020618506,M,consensus_panel
POSTN,1.6545519262128099,2.5392857704741996,M,consensus_panel
PPFIBP2,2.5403830252845387,1.58284322833619,E,consensus_panel
PPIC,4.7227989484590065,2.0615558492061616,M,consensus_panel
PPL,2.2144547535810415,2.0374153406614415,E,consensus_panel
PPP1R9A,1.3576342991966706,1.1160376344587783,E,consensus_panel
PRR5L,2.2861314850118135,1.7114262562772313,M,consensus_panel
PRRX1,1.7010498699495629,2.2282395286988153,M,consensus_panel
PRSS8,2.388589004115085,2.628216984849677,E,consensus_panel
PSMD2,7.994443377428737,1.0062887107432867,M,consensus_panel
PSME1,7.470773537230947,0.8594715063631859,E,consensus_panel
PTHLH,2.053321955765387,2.071015924122652,M,consensus_panel
PTPN21,2.3636076494365783,1.2496746851838094,M,consensus_panel
PTPRK,4.144966761207738,1.705090459361113,M,consensus_panel
PVR,4.674967063505338,1.6103529968432,M,consensus_panel
PXDC1,3.6104355145364395,1.9396503809509884,M,consensus_panel
RAB25,2.8043977491946843,2.9724231706369406,E,consensus_panel
RAB26,1.6749831120594116,1.2328245533745374,E,consensus_panel
RAB38,2.3295422424063816,2.0655520387993698,E,consensus_panel
RALA,5.3038222189645134,0.6771574607393466,M,consensus_panel
RBM47,2.6505237397061947,1.992037255833203,E,consensus_panel
RFTN1,2.819474434487361,2.0255569030705862,M,consensus_panel
RGS4,1.9646813930727274,2.4785973660815537,M,consensus_panel
RUNX2,2.269741648632785,1.6435056356479179,M,consensus_panel
S100A8,1.827664592178539,2.1719428844500426,E,consensus_panel
S100P,3.3131732815749175,3.2561194551616888,E,consensus_panel
SACS,3.0327013660610818,1.1599442391345578,M,consensus_panel
SAT1,7.270340438627109,1.7541004158361202,E,consensus_panel
